layer,M,kind,regime,median_us,mean_us,min_us,max_us,rounds
fc2,1,bf16,eviction_attempt,14.336000196635723,15.018666783968607,14.336000196635723,16.383999958634377,21
fc2,1,native_int4,warm,4.6339998953044415,4.798999921019588,4.387999884784222,5.816999822854996,7
fc2,1,native_int4,eviction_attempt,12.28800043463707,12.188952770971117,10.239999741315842,12.28800043463707,21
fc2,1,packed_int4,warm,14.084000140428543,14.324285755200046,13.973000459372997,15.75399935245514,7
fc2,1,packed_int4,eviction_attempt,19.45599913597107,19.45600002294495,18.432000651955605,20.479999482631683,21
fc2,1,dequant_only,warm,4.145000129938126,4.222857167146036,3.8870000280439854,4.780000075697899,7
fc2,1,dequant_only,eviction_attempt,8.191999979317188,7.324952366096633,6.144000217318535,8.191999979317188,21
fc2,1,predequant_gemm,warm,10.25800034403801,10.88928577623197,10.201999917626381,14.739000238478184,7
fc2,1,predequant_gemm,eviction_attempt,16.383999958634377,16.365714371204376,14.336000196635723,18.432000651955605,21
fc2,1,fused_int4,warm,45.10900005698204,45.13514307992799,45.003000646829605,45.49200087785721,7
fc2,1,fused_int4,eviction_attempt,49.15200173854828,49.86209670702616,49.12000149488449,57.34400078654289,21
fc2,16,bf16,warm,6.206999998539686,6.340428521590574,5.8559998869895935,7.404000032693148,7
fc2,16,bf16,eviction_attempt,14.336000196635723,14.140952600254899,12.28800043463707,14.336000196635723,21
fc2,16,native_int4,warm,8.589999750256538,8.732857182621956,8.476000279188156,9.730000048875809,7
fc2,16,native_int4,eviction_attempt,16.383999958634377,15.71047625371388,14.336000196635723,16.383999958634377,21
fc2,16,packed_int4,warm,10.78800018876791,11.06900003339563,10.583999566733837,12.835999950766563,7
fc2,16,packed_int4,eviction_attempt,16.383999958634377,16.362666640253295,15.968000516295433,16.383999958634377,21
fc2,16,dequant_only,warm,4.143999889492989,4.246571367340429,4.124999977648258,4.846999887377024,7
fc2,16,dequant_only,eviction_attempt,8.191999979317188,7.420952387508892,6.144000217318535,8.191999979317188,21
fc2,16,predequant_gemm,warm,6.909999996423721,7.100714171039207,6.850999779999256,8.011999540030956,7
fc2,16,predequant_gemm,eviction_attempt,14.336000196635723,14.383238252429734,13.311999849975109,16.383999958634377,21
fc2,16,fused_int4,warm,45.235998928546906,45.28842866420746,45.20300030708313,45.57200148701668,7
fc2,16,fused_int4,eviction_attempt,49.15200173854828,49.348573067358565,49.15200173854828,53.279999643564224,21
fc2,64,bf16,warm,12.455999851226807,12.559714327965464,12.361000292003155,13.148999772965908,7
fc2,64,bf16,eviction_attempt,16.383999958634377,16.85333349520252,16.00000075995922,18.432000651955605,21
fc2,64,native_int4,warm,18.271999433636665,18.395428412726947,17.93299987912178,19.550999626517296,7
fc2,64,native_int4,eviction_attempt,24.57600086927414,23.922286395515716,22.112000733613968,24.57600086927414,21
fc2,64,packed_int4,warm,17.20600016415119,17.460856852786883,17.108000814914703,18.998999148607254,7
fc2,64,packed_int4,eviction_attempt,22.52800017595291,22.508190678698675,22.112000733613968,22.52800017595291,21
fc2,64,dequant_only,warm,4.139999859035015,4.231857202414956,4.114000126719475,4.749000072479248,7
fc2,64,dequant_only,eviction_attempt,8.191999979317188,7.995428561809517,6.144000217318535,8.191999979317188,21
fc2,64,predequant_gemm,warm,13.327999971807003,13.481285689132553,13.263000175356865,14.22099955379963,7
fc2,64,predequant_gemm,eviction_attempt,18.432000651955605,18.52952440579732,18.432000651955605,20.479999482631683,21
fc2,64,fused_int4,warm,43.29900071024895,43.33885759115219,43.1860014796257,43.60099881887436,7
